Player_Name,Player_id,Age,Position,Height,Weight,Season_Number,Total_Minutes_Played,USG_Percentage,TOV_Percentage,OREB_Percentage,DREB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage
Jaren Jackson,26,18.5,PF,83,236,1,764,0.234458,0.175877,0.089372,0.200933,0.092884,0.016478,0.141982
Jayson Tatum,27,19.1,F,80,210,1,966,0.261999,0.151346,0.048539,0.196741,0.123974,0.023606,0.031999
Jimmy Butler,28,21.5,F,80,222,3,1282,0.212745,0.099705,0.089486,0.131079,0.131702,0.024604,0.010642
Joel Embiid,29,20,C,84,240,1,647,0.232486,0.220059,0.12693,0.273043,0.114729,0.022977,0.116748
John Collins,30,19.5,PF,82,225,2,878,0.297867,0.114275,0.164105,0.256556,0.044745,0.013613,0.06553
John Collins,30,18.5,PF,82,225,1,446,0.237835,0.140679,0.128179,0.176811,0.034663,0.011368,0.049701
Karl Towns,31,19.4,C,84,248,1,824,0.236576,0.144037,0.141472,0.222165,0.115391,0.014031,0.111824
Kawhi Leonard,32,19.8,F,79,227,2,1211,0.276968,0.129313,0.120932,0.288093,0.167721,0.027821,0.017295
Kemba Walker,33,20.9,PG,73,184,3,1630,0.325484,0.095087,0.042547,0.124736,0.275745,0.030934,0.004299
Khris Middleton,34,20.6,F,80,216,3,552,0.297457,0.137639,0.056768,0.158237,0.190086,0.021087,0.010659
Khris Middleton,34,19.6,F,80,216,2,1027,0.28206,0.17506,0.090627,0.144954,0.233699,0.024953,0.002317
Klay Thompson,35,21.1,SG,79,206,3,1179,0.328872,0.153867,0.02801,0.155113,0.249551,0.02806,0.031283
Kyrie Irving,36,19,PG,75,191,1,303,0.262975,0.16642,0.025092,0.11747,0.297621,0.030391,0.01756
Larry Nance,37,22.3,PF,81,227,4,1043,0.286495,0.142152,0.061903,0.205335,0.196702,0.023444,0.042906
Larry Nance,37,21.3,PF,81,227,3,849,0.250858,0.113004,0.058538,0.250834,0.124162,0.026283,0.074612
Larry Nance,37,20.3,PF,81,227,2,1000,0.189516,0.14059,0.074574,0.205498,0.094719,0.028153,0.025541
Larry Nance,37,19.3,PF,81,227,1,548,0.149264,0.167151,0.101537,0.190127,0.044544,0.026758,0.039012
Michael Kidd-Gilchrist,38,18.5,F,79,233,1,1245,0.205327,0.174881,0.102931,0.16023,0.108252,0.019273,0.028136
Mikal Bridges,39,21.6,F,79,204,3,1286,0.23242,0.091843,0.052774,0.139439,0.105847,0.027649,0.034997
